Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2010,0.75,0.84,0.92,0.85,0.75,0.68,0.63,0.67,0.63,0.71,0.81,0.46,0.73,0.74,0.75,0.84,0.66,0.72
2011,0.53,0.48,0.66,0.65,0.53,0.62,0.7,0.75,0.56,0.66,0.59,0.6,0.61,0.6,0.49,0.61,0.69,0.6
2012,0.47,0.49,0.57,0.73,0.79,0.64,0.59,0.66,0.73,0.8,0.79,0.53,0.65,0.65,0.52,0.69,0.63,0.77
2013,0.71,0.62,0.67,0.53,0.6,0.7,0.6,0.71,0.77,0.7,0.83,0.7,0.68,0.66,0.62,0.6,0.67,0.77
2014,0.77,0.55,0.78,0.81,0.87,0.67,0.58,0.83,0.88,0.81,0.67,0.78,0.75,0.74,0.67,0.82,0.7,0.78
2015,0.87,0.9,0.96,0.75,0.8,0.81,0.73,0.79,0.84,1.08,1.06,1.17,0.9,0.87,0.85,0.84,0.78,0.99
2016,1.18,1.37,1.35,1.09,0.96,0.81,0.84,1.02,0.9,0.88,0.92,0.86,1.02,1.04,1.24,1.13,0.89,0.9
2017,1.02,1.14,1.17,0.94,0.91,0.71,0.82,0.87,0.75,0.89,0.88,0.93,0.92,0.91,1.01,1.01,0.8,0.84
2018,0.82,0.85,0.88,0.89,0.81,0.77,0.83,0.78,0.81,1.01,0.84,0.93,0.85,0.85,0.87,0.86,0.79,0.88
2019,0.93,0.95,1.17,1.01,0.86,0.9,0.93,0.95,0.93,0.99,0.99,1.12,0.98,0.96,0.93,1.01,0.93,0.97
